Unnamed: 0,Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
550,Nike dunk ,65.0,NIKE,"BLANC, ROSE",38,https://www.vinted.fr/items/3874245399-nike-dunk?referrer=catalog,https://images1.vinted.net/t/01_01334_37QBkbmDQERmAAGZnSgqybeC/310x430/1702373136.jpeg?s=da4f7287ea4753ae674e10a61fd7c9b6696d3ab9,FRANCE,Women
551,Dunk high,120.0,NIKE,BEIGE,36.5,https://www.vinted.fr/items/3873611901-dunk-high?referrer=catalog,https://images1.vinted.net/t/03_01e95_jXjZqH8mvZxjYECZbgnyDD2b/310x430/1702331955.jpeg?s=352d0e7678ca3daee946cf46e7db0ff266fdafb3,"BOULOGNE-BILLANCOURT, FRANCE",Women
552,Nike Dunk Low Disrupt 2 Malachite  ,150.0,NIKE,"BLANC, VERT",38,https://www.vinted.fr/items/3887836684-nike-dunk-low-disrupt-2-malachite?referrer=catalog,https://images1.vinted.net/t/02_0161e_9Q6J1WXg34fN22DpL4uPd9cG/310x430/1702738270.jpeg?s=24d32125ea755f6dc045ec5d158439eb9772657f,"LILLE, FRANCE",Women
553,Basket Nike dunk jaune et bordeaux foncé,110.0,NIKE,"BORDEAUX, JAUNE",39,https://www.vinted.fr/items/3887574610-basket-nike-dunk-jaune-et-bordeaux-fonce?referrer=catalog,https://images1.vinted.net/t/02_0202e_u4x9WJgKq7q3GxtuV3A1grTg/310x430/1702734382.jpeg?s=7cd327c93c0d1b808880f4c79d2b7133282ba023,FRANCE,Women
554,Dunk nike bordeaux,70.0,NIKE,"BLANC, BORDEAUX",40.5,https://www.vinted.fr/items/3885800379-dunk-nike-bordeaux?referrer=catalog,https://images1.vinted.net/t/03_01818_4YRbY9AhvdD1nUJD9C3NfTDh/310x430/1702809120.jpeg?s=1ad0aa1300a80da0d5c1f9ddc6521d0fc33772cc,FRANCE,Women
555,Dunk vert d’eau,,"110,00 €",MENTHE,Nike,https://www.vinted.fr/items/3884343389-dunk-vert-deau-taille-41?referrer=catalog,https://images1.vinted.net/t/01_02563_G5TvpHdHtVn3rfGRCWBzXRpW/310x430/1702639104.jpeg?s=9fcea496ce53cd3e6bb5ac427b39b22012ca2da2,"MESSIGNY-ET-VANTOUX, FRANCE",Women
556,Dunk grise nike ,120.0,NIKE,"GRIS, BLANC",38,https://www.vinted.fr/items/3871011890-dunk-grise-nike?referrer=catalog,https://images1.vinted.net/t/01_00277_smw7cJDje4JA4KmouTzmFHY7/310x430/1702295264.jpeg?s=e46bf77ea69530fc5295c41b66c774e9519c98b3,"SAVENAY, FRANCE",Women
557,Dunk grise ,70.0,NIKE,GRIS,39,https://www.vinted.fr/items/3887338693-dunk-grise?referrer=catalog,https://images1.vinted.net/t/03_00151_JSgfsZJXUB3Y1H6WbT1VKPkT/310x430/1702730889.jpeg?s=bcf3ec0662af57131b123d7331f282a8f5f31071,FRANCE,Women
558,Baskets Nike Dunk Sky ,80.0,NIKE,VIOLET,38,https://www.vinted.fr/items/3887697639-baskets-nike-dunk-sky?referrer=catalog,https://images1.vinted.net/t/03_008a3_Ho1td5nXmR8yFRNz3tts2k2u/310x430/1702736185.jpeg?s=25bad65182176cdd4af692b8654cd4a22de49053,"NICE, FRANCE",Women
559,Nike Dunk low,100.0,NIKE,ROSE,37.5,https://www.vinted.fr/items/3877769043-nike-dunk-low?referrer=catalog,https://images1.vinted.net/t/01_01eef_UAwxx11qbT1FYkxRQoYUJ8Sz/310x430/1702481297.jpeg?s=283316c68347f39ef4bedfcacc38fe2d84b560f0,"ZARAGOZA, ESPAGNE",Women
