Unnamed: 0,Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender
47,Nike Dunk basse rétro Panda,65.0,NIKE,"NOIR, BLANC","45,5",https://www.vinted.fr/items/3872377075-nike-dunk-basse-retro-panda?referrer=catalog,https://images1.vinted.net/t/01_01790_8kmbo9H7iQT4po87bYx2xjrJ/310x430/1702313898.jpeg?s=e30d842bd6a26ada96bff280481445348633f58b,"PLAN-DE-CUQUES, FRANCE",Men
48,Chaussures Nike Dunk Homme ,80.0,NIKE,"BLANC, VERT",45,https://www.vinted.fr/items/3878851327-chaussures-nike-dunk-homme?referrer=catalog,https://images1.vinted.net/t/02_023b2_9aV6519BKLVgnCh1oBjBR5Vu/310x430/1702477890.jpeg?s=9a3363940f1483a10bea6dd5478d13711cbb6e2a,"MOULIS-EN-MÉDOC, FRANCE",Men
49,Nike Dunk SB What The Paul Mandarin duck,168.0,NIKE,MULTICOLORE,42,https://www.vinted.fr/items/3883806763-nike-dunk-sb-what-the-paul-mandarin-duck?referrer=catalog,https://images1.vinted.net/t/02_00799_EJ8keDbMf2LKiF1Ks8EQAFYK/310x430/1702627051.jpeg?s=1e0fc98dde811217de0997bf06bc393bd096cbf7,"SAINT-BERNARD, FRANCE",Men
50,Nike dunk hi retro,50.0,NIKE,"BLANC, VERT FONCÉ",42,https://www.vinted.fr/items/3880788020-nike-dunk-hi-retro?referrer=catalog,https://images1.vinted.net/t/03_01aca_Z5NJJCCfonRWmtQbwz4mPPUV/310x430/1702539776.jpeg?s=c0af1950dc29be2c0fb56cf2793fb96145369e24,"MARCQ-EN-BARŒUL, FRANCE",Men
51,Nike SB Dunk Low April Skateboards,240.0,NIKE,"BLANC, TURQUOISE",39,https://www.vinted.fr/items/3882312809-nike-sb-dunk-low-april-skateboards?referrer=catalog,https://images1.vinted.net/t/02_0265e_RECkE9EzyGHe3GyfSNWDsXp2/310x430/1702568203.jpeg?s=1bd71c545426dce276031c75bf9c726fee8ac24c,"BORDEAUX, FRANCE",Men
52,Nike SB Dunk EBay ,150.0,NIKE,MULTICOLORE,44,https://www.vinted.fr/items/3891562861-nike-sb-dunk-ebay?referrer=catalog,https://images1.vinted.net/t/01_002ee_XUJaWBG1bdKJojDzGLZpskPJ/310x430/1702833328.jpeg?s=64748928b194ce58280c89442b229e9bd4fb7039,"ANNECY, FRANCE",Men
53,Nike dunk high panda black white maat 44,75.0,NIKE,NOIR,44,https://www.vinted.fr/items/3883716436-nike-dunk-high-panda-black-white-maat-44?referrer=catalog,https://images1.vinted.net/t/03_01e90_eGRVzGcUZHznYocDAMvGLXrF/310x430/1702620713.jpeg?s=4130b04a53c4948ee56847ed1348a9cd20d0d11a,"NIEUWVLIET, PAYS-BAS",Men
54,winters eu 44 Dunk Grey Low Blanc Fog ,55.0,NIKE,GRIS,44,https://www.vinted.fr/items/3891138409-winters-eu-44-dunk-grey-low-blanc-fog?referrer=catalog,https://images1.vinted.net/t/02_005eb_JduPVVyoSvb8rsyyKS7MskA7/310x430/1702827388.jpeg?s=32a207dd85d0ebf2d5ecbdef6dbdd313392dc352,"MIRAMAS, FRANCE",Men
55,Nike Dunk panda,70.0,NIKE,"NOIR, BLANC","44,5",https://www.vinted.fr/items/3891755164-nike-dunk-panda?referrer=catalog,https://images1.vinted.net/t/02_01c4b_JDB8VypfD16uZBWrnEDyR39A/310x430/1702836393.jpeg?s=cc69187bf9ed3276c6c6b799e292a8b7e8328d58,"GUJAN-MESTRAS, FRANCE",Men
56,Nike dunk,40.0,NIKE,"BLANC, BEIGE",42,https://www.vinted.fr/items/3886700792-nike-dunk?referrer=catalog,https://images1.vinted.net/t/02_005fa_VDNBjedqS8NtXXnaHByvm65h/310x430/1702720801.jpeg?s=4b8fb0790508c48b91a72027065343a5f2726eb2,"ROMA, ITALIE",Men
57,Dunk low clear jade ,100.0,NIKE,MENTHE,"42,5",https://www.vinted.fr/items/3891753509-dunk-low-clear-jade?referrer=catalog,https://images1.vinted.net/t/03_023cd_pELViMdAHXYKDAsHkxoVvrSE/310x430/1702836097.jpeg?s=880b3e150e3f1f921268191f925fd148cd0fa346,FRANCE,Men
58,Nike Dunk Sb Low Philadelphia Phillies ,140.0,NIKE,BLEU,"40,5",https://www.vinted.fr/items/3759745131-nike-dunk-sb-low-philadelphia-phillies,https://images1.vinted.net/t/01_02116_5eGxnrq86bk5fH8CtGA9rqkr/310x430/1699977578.jpeg?s=08609c86356e14371e266e8bcb0b265ae098c483,FRANCE,Men
59,Nike Dunk panda ,50.0,NIKE,"NOIR, BLANC",40,https://www.vinted.fr/items/3885455218-nike-dunk-panda?referrer=catalog,https://images1.vinted.net/t/02_01dd2_RVcMQ5Y1KiKgqGbvHEHTr6vH/310x430/1702660088.jpeg?s=fadfc112e03b388ae9da636c70fc5c84cf2ef509,"SCHAARBEEK, BELGIQUE",Men
60,Nike Dunk University Red ,100.0,NIKE,"BLANC, ROUGE","42,5",https://www.vinted.fr/items/3882307040-nike-dunk-university-red?referrer=catalog,https://images1.vinted.net/t/03_010b3_qg9SDqw7SZLQepYg15Szg51v/310x430/1702568098.jpeg?s=df2d56c247d69015ce21b0968f89b95f54ed46d5,"ORLÉANS, FRANCE",Men
61,Nike dunk low triple white ,50.0,NIKE,BLANC,41,https://www.vinted.fr/items/3867160765-nike-dunk-low-triple-white?referrer=catalog,https://images1.vinted.net/t/03_01271_oiBwX5hvzmRmbehj66b7csq6/310x430/1702217271.jpeg?s=fb0327a31e5e04e4a5f760f2387cba1678ed0650,"PARIS, FRANCE",Men
62,Nike Dunk Low Next Nature Bleu ciel,90.0,NIKE,"BLANC, BLEU CLAIR",43,https://www.vinted.fr/items/3882665237-nike-dunk-low-next-nature-bleu-ciel?referrer=catalog,https://images1.vinted.net/t/02_0131d_om1MzQjQs1n6dHGSk2kkTFZb/310x430/1702574632.jpeg?s=6284dadccf40d64556c258e830fc0df863656b18,"PARIS, FRANCE",Men
63,dunk high 44 grigie Nike,35.0,NIKE,"GRIS, BLANC",44,https://www.vinted.fr/items/3890858392-dunk-high-44-grigie-nike?referrer=catalog,https://images1.vinted.net/t/03_01dee_BmS7cWC6ESQdEV5L8fP7Y46K/310x430/1702823835.jpeg?s=8d413833209bc8edd69d3d07c76498f988d33db8,"CANTALUPO, ITALIE",Men
