Title,Price,Brand,Color,Size,Link,Image Source,Localisation,Gender,Approximate Carbon Footprint (kg CO2),Approximative Carbon Print from Ordering on Nike (kg CO2/ton),Carbon Profit (kg CO2),Average price of the product on Nike,Profit Made
Air force 1 ,13.0,NIKE,"NOIR, BLANC",41,https://www.vinted.fr/items/2215650891-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_008a7_jRJftKBtSxK5tNGjxjMyqMvE/310x430/1663534122.jpeg?s=d2ad897d57878dc4665bcfa03f1aa8ab68d077da,"VILLENEUVE-SAINT-GEORGES, FRANCE",Men,3.136362636131663,405,401.8636373638684,117.33137931034476,104.33137931034476
Air force 1 ,13.0,NIKE,"NOIR, BLANC",41,https://www.vinted.fr/items/2215650891-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_008a7_jRJftKBtSxK5tNGjxjMyqMvE/310x430/1663534122.jpeg?s=d2ad897d57878dc4665bcfa03f1aa8ab68d077da,"VILLENEUVE-SAINT-GEORGES, FRANCE",Women,3.136362636131663,405,401.8636373638684,117.33137931034476,104.33137931034476
Basket air force 1,15.0,NIKE,BLANC,25,https://www.vinted.fr/items/3872832062-basket-air-force-1?referrer=catalog,https://images1.vinted.net/t/02_0215f_itB5xGbjRmuvQtWce2hfHfTE/310x430/1702320338.jpeg?s=42f625d2e7628c1c20b6b20f605e61137fcbe32e,FRANCE,Kid,50.58615778249138,405,354.4138422175086,117.33137931034476,102.33137931034476
Nike air force 1,15.0,NIKE,BLANC,27,https://www.vinted.fr/items/3825764645-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/01_005ea_b26Bec5S4SPUQ68p2Fs4Sgae/310x430/1701274654.jpeg?s=d36865c261e8860ec3237e0144f540fb48808270,"VACOGNES-NEUILLY, FRANCE",Kid,42.42255017668703,405,362.577449823313,117.33137931034476,102.33137931034476
Nike Air Force 1 in velluto viola ,15.0,NIKE,VIOLET,40,https://www.vinted.fr/items/3839846976-nike-air-force-1-in-velluto-viola?referrer=catalog,https://images1.vinted.net/t/03_00201_4eVdySpZ1hQLhTb99C3pshaA/310x430/1701608407.jpeg?s=8c222faad714b7b65a480de305f8795731abcc34,"BUSTO ARSIZIO, ITALIE",Kid,121.9711214313935,405,283.0288785686065,117.33137931034476,102.33137931034476
Air force 1,15.0,NIKE,"NOIR, BLANC",41,https://www.vinted.fr/items/3008849496-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_008be_tkuyvnQpgnQKxJe1hsbYRk6i/310x430/1683824884.jpeg?s=93d165c13079f6ebfbde7d4c763e44673e178db5,"SANTANDER, ESPAGNE",Men,153.00662098645526,405,251.99337901354477,117.33137931034476,102.33137931034476
Nike Air Force 1 bébé 22,15.0,NIKE,"NOIR, BLANC",22,https://www.vinted.fr/items/3342534939-nike-air-force-1-bebe-22?referrer=catalog,https://images1.vinted.net/t/03_019d1_TJJupzNH3Uas3GS2fGYhqCsN/310x430/1691847810.jpeg?s=7afb12e970c63fc769ec07ed4e1589bbafc93201,"LA VALETTE-DU-VAR, FRANCE",Kid,138.98060163351815,405,266.0193983664818,117.33137931034476,102.33137931034476
Basket air force 1 taille 22,15.0,NIKE,"BLANC, VERT",22,https://www.vinted.fr/items/3816270577-basket-air-force-1-taille-22?referrer=catalog,https://images1.vinted.net/t/03_01ec0_YPjfAHEyPfAmS8caabbtjDYf/310x430/1701086929.jpeg?s=4204d531755a84736127a611e10c3218fbb0abdb,"ISSY-LES-MOULINEAUX, FRANCE",Kid,1.3523171351421843,405,403.6476828648578,117.33137931034476,102.33137931034476
Nike air force 1,15.0,NIKE,NOIR,40,https://www.vinted.fr/items/3705000888-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/01_01fa3_Z8K9yjWYCA18nSh3AEpCq4UE/310x430/1699017854.jpeg?s=30c34b62ba4636314eb4ab4302cd9f8fe29d60a0,ITALIE,Men,211.5912481093571,405,193.4087518906429,117.33137931034476,102.33137931034476
Air Force 1 ragazza n 36,15.0,NIKE,"BLANC, ROSE",36,https://www.vinted.fr/items/3880694158-air-force-1-ragazza-n-36?referrer=catalog,https://images1.vinted.net/t/02_018b9_rkfypvPDLbna9CEocFaDyzqH/310x430/1702531353.jpeg?s=0291dad4c9fe5ab9b05c4a4004a4f202bf5c8f36,"CERNUSCO SUL NAVIGLIO, ITALIE",Kid,129.0582975824483,405,275.9417024175517,117.33137931034476,102.33137931034476
Air force nike ,15.0,NIKE,BLANC,"40,5",https://www.vinted.fr/items/3650744854-air-force-nike?referrer=catalog,https://images1.vinted.net/t/01_010d1_9GDZdpvye1aN8pgxbvogMqTi/310x430/1698003800.jpeg?s=ebb6f39a2794b365df755c70f84c1c57c4f2c489,"MALAGA, ESPAGNE",Men,291.2220704330091,405,113.7779295669909,117.33137931034476,102.33137931034476
Nike Air force 1,15.0,NIKE,"NOIR, MOUTARDE",41,https://www.vinted.fr/items/3088386833-nike-air-force-1?referrer=catalog,https://images1.vinted.net/t/03_00d59_dwtYkbwRtCKKYNU2wVpAmker/310x430/1685641192.jpeg?s=a85122d054b5b02e662308ddca3a714ca33be164,"NOTARESCO, ITALIE",Men,226.0139336492548,405,178.98606635074523,117.33137931034476,102.33137931034476
Nike air force 1 highness(TD)(22),15.0,NIKE,"NOIR, VIOLET",22,https://www.vinted.fr/items/3840429253-nike-air-force-1-highnesstd22,https://images1.vinted.net/t/01_024bb_jCMJaRcsFNqtML7oE1PjFvnv/310x430/1701613339.jpeg?s=84623aa9f8b735761341428048e4a43074c24983,"BOURG-LÈS-VALENCE, FRANCE",Kid,95.04021060535486,405,309.9597893946452,117.33137931034476,102.33137931034476
